EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,,,,
SKU,Detailed Description,List Price,List Price/Month,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),Cloud Marketplace,End of Sale,End of Life,EOS Replacement SKU,Support Available
GTP-ASF21,"G-TAP A Series 2, Always On Tap, taps 4 1/10Gb SFP/SFP+ links, fan assembly, 1 power brick (NA), rack mount kit. Includes North American power cord."," $19,660.00 ",  ,,Taps and Aggregators,GTAP-A,Mexico,,,,,TRUE
GTP-ATX00,"G-TAP A Series, Always On 10/100/1000M copper TAP, No Power"," $1,970.00 ",  ,,Taps and Aggregators,GTAP-A,Mexico,,,,,TRUE
GTP-ATX01-UN,"G-TAP A Series, Always On Copper TAP, AC Power (EU, UK, US/JP, AU plugs)."," $1,970.00 ",  ,,Taps and Aggregators,GTAP-A,Mexico,,,,,TRUE
GTP-ATX02,"G-TAP A Series, Always On  10/100/1000M copper TAP, DC Power"," $2,240.00 ",  ,,Taps and Aggregators,GTAP-A,Mexico,,,,,TRUE
GTP-ATX21,"G-TAP A Series 2, Always On Tap, taps 4 10/100/1000BASE-T links, fan assembly, 1 power brick (NA), rack mount kit. Includes North American power cord."," $8,525.00 ",  ,,Taps and Aggregators,GTAP-A,Mexico,,,,,TRUE
GVS-TAC01-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA100 (GVS-TAC01-HW). Includes Bundled Elite-Plus Software Support.  (EOS Feb 28, 2022)",  ," $1,920.00 ",,Taps and Aggregators,GigaVUE-TA100,United States,,2/28/2022,2/28/2027,GVS-TAC21-SW-TM,TRUE
GVS-TAC02-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA100 (GVS-TAC02-HW). Includes Bundled Elite-Plus Software Support.  (EOS Feb 28, 2022)",  ," $1,920.00 ",,Taps and Aggregators,GigaVUE-TA100,United States,,2/28/2022,2/28/2027,GVS-TAC22-SW-TM,TRUE
GVS-TAC20-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-TA200; 32 ports enabled (GVS-TAC[21/22]-HW). Includes Bundled Elite-Plus Software Support.,  ," $1,405.00 ",,Taps and Aggregators,GigaVUE-TA200,United States,,,,,TRUE
GVS-TAC20E-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-TA200E; 32 ports enabled (GVS-TAC[21E/22E]-HW). Includes Bundled Elite-Plus Software Support.,  ," $1,405.00 ",,Taps and Aggregators,GigaVUE-TA200E,United States,,,,,TRUE
GVS-TAC21,"GigaVUE-TA200 node, 64 100G QSFP28 cages, 2 power supplies, 4 fan trays, AC power; 32 ports enabled"," $49,280.00 ",  ,,Taps and Aggregators,GigaVUE-TA200,Taiwan,,,,,TRUE
GVS-TAC21-HW,"GigaVUE-TA200 node, 64 100G QSFP28 cages, 2 power supplies, 4 fan trays, AC power;  Hardware only. Must pair with appropriate GigaVUE-OS Software License."," $10,980.00 ",  ,,Taps and Aggregators,GigaVUE-TA200,Taiwan,,,,,TRUE
GVS-TAC21-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA200; 32 ports enabled (GVS-TAC21-HW). Includes Bundled Elite-Plus Software Support.  (EOS Feb 28, 2023)",  ," $1,405.00 ",,Taps and Aggregators,GigaVUE-TA200,United States,,2/28/2023,,GVS-TAC20-SW-TM,TRUE
GVS-TAC21E,"GigaVUE-TA200E node, 64 100G QSFP28 cages, 2 power supplies, 4 fan trays, AC power; 32 ports enabled."," $49,280.00 ",  ,,Taps and Aggregators,GigaVUE-TA200E,Taiwan,,,,,TRUE
GVS-TAC21E-HW,"GigaVUE-TA200E node, 64 100G QSFP28 cages, 2 power supplies, 4 fan trays, AC power;  Hardware only. Must pair with appropriate GigaVUE-OS Software License."," $10,980.00 ",  ,,Taps and Aggregators,GigaVUE-TA200E,Taiwan,,,,,TRUE
