EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,,,,
SKU,Detailed Description,List Price,List Price/Month,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),Cloud Marketplace,End of Sale,End of Life,EOS Replacement SKU,Support Available
PWR-TAXQ1,"Power Supply Module, GigaVUE-TA10, or TA40 or HC1, AC, each", $795.00 ,  ,,Accessories,Power,China,,,,,FALSE
PWR-TAXQ2,"Power Supply Module, GigaVUE-TA10, TA40, TA100 or HC1, DC, each"," $1,970.00 ",  ,,Accessories,Power,China,,,,,FALSE
Q28-502T,"100G QSFP28, Multimode SR4. TAA Compliant"," $2,755.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
Q28-503,"100G QSFP28, Singlemode LR4. Not TAA Compliant."," $14,330.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
Q28-503T,"100G QSFP28, Singlemode LR4. TAA Compliant."," $22,045.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
Q28-504,"100G QSFP28, Singlemode ER4-lite. Not TAA Compliant."," $24,805.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
Q28-504T,"100G QSFP28, Singlemode ER4-lite, TAA Compliant."," $55,120.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
Q28-506,"100G QSFP28, Singlemode PLR4 2km. Not TAA Compliant."," $5,510.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
Q28-508,"100G QSFP28, Multimode SWDM4. Not TAA Compliant."," $3,145.00 ",  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
Q28-511T,"100G QSFP28, Singlemode DR1, TAA Compliant."," $3,855.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
Q28-513,"100G QSFP28, Singlemode CWDM4. Not TAA Compliant."," $5,510.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
Q28-514,"100G QSFP28, Singlemode FR1. Not TAA Compliant."," $4,195.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QDD-503,"400G QSFP-DD, Singlemode LR4. Not TAA Compliant."," $10,495.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QDD-511,"400G QSFP-DD, Singlemode DR4. Not TAA Compliant."," $5,245.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QDD-512,"400G QSFP-DD, Singlemode DR4+. Not TAA Compliant."," $6,295.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QDD-514,"400G QSFP-DD, Singlemode FR4. Not TAA Compliant."," $6,820.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QSB-501,"40G QSFP+ BiDi, Multimode SR RX-only. Not TAA Compliant."," $1,980.00 ",  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
QSB-502,"40G QSFP+ BiDi, Multimode SR, Full Duplex. Not TAA Compliant. (EOS Jul 03, 2025)"," $1,980.00 ",  ,,Accessories,Transceivers,Malaysia,,7/3/2025,7/3/2025,QSB-504,FALSE
QSB-504,"40G QSFP+ BiDi, Multimode SR, Full Duplex. Not TAA Compliant."," $1,980.00 ",  ,,Accessories,Transceivers,Thailand,,,,,FALSE
QSB-512,"100G QSFP28 BiDi, Multimode SR, Full Duplex. Not TAA Compliant."," $3,965.00 ",  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
QSB-521,"100G and 40G QSFP28 BiDi, Multimode SR, Rx-Only For Use With Taps. Not TAA Compliant.​"," $3,635.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QSB-531,"100G QSFP28 BiDi, Multimode SR1.2, KP4 FEC support, Rx-Only For Use With Taps. Not TAA Compliant."," $3,635.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QSB-532,"100G QSFP28 BiDi, Multimode SR1.2, KP4 FEC support, Full Duplex. Not TAA Compliant."," $3,965.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QSF-502,"40G QSFP+, Multimode SR4. Not TAA Compliant."," $3,305.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QSF-502-10P,"10 pack of 40G QSFP+, Multimode SR4. Not TAA Compliant."," $16,535.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QSF-502T,"40G QSFP+, Multimode SR4. TAA Compliant."," $3,305.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
QSF-502T-10P,"10 pack of 40G QSFP+, Multimode SR4. TAA Compliant."," $33,020.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
QSF-503T,"40G QSFP+, Singlemode LR4. TAA Compliant."," $11,020.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
QSF-503T-5P,"5 pack of 40G QSFP+, Singlemode LR4. TAA Compliant."," $55,100.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
QSF-504,"40G QSFP+, Singlemode ER4. Not TAA Compliant."," $16,535.00 ",  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
QSF-506,"40G QSFP+ Parallel Singlemode LR for 4x10G Breakout, 1310 nm. Not TAA Compliant."," $4,405.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QSF-506T,"40G QSFP+ Parallel Singlemode LR for 4x10G Breakout, 1310 nm. TAA Compliant."," $6,610.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
QSF-507,"40G QSFP+, Multimode SR4 Extended Reach. Not TAA Compliant."," $3,305.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
QSF-507T,"40G QSFP+, Multimode SR4 Extended Reach. TAA Compliant."," $3,305.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
QSF-508,"40G QSFP+, Multimode SWDM4. Not TAA Compliant."," $3,305.00 ",  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
RMK-HCT00,"GigaVUE-HCT Rack Mount Kit, Allows Installation of One or Two Chassis Side-By-Side Into Standard 19"" Rack", $220.00 ,  ,,Accessories,Accessories,Mexico,,,,,FALSE
RMK-TAC40E,GigaVUE-TA400E Rack Mount Kit, $165.00 ,  ,,Accessories,Accessories,Taiwan,,7/1/2025,7/1/2025,,FALSE
RMK-TAX20E,"GigaVUE-TA25E, GigaVUE-TA200E, GigaVUE-TA400E Rack Mount Kit", $165.00 ,  ,,Accessories,Accessories,Taiwan,,,,,FALSE
