EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,
SKU,Detailed Description,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),End of Sale,End of Life,EOS Replacement SKU,Support Available
PRT-HC1-Q04X08-SW-TM,Monthly GigaVUE-OS term license for PRT-HC1-Q04X08-HW. Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
PRT-HC1-X12,"Port Module, GigaVUE-HC1-Plus/HC1/HCT, 12 1/10G SFP+ cages",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
PRT-HC1-X12-HW,"Port Module, GigaVUE-HC1-Plus/HC1/HCT, 12 1/10G SFP+ cages. Hardware only.  Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
PRT-HC1-X12-SW-TM,Monthly GigaVUE-OS term license for PRT-HC1-X12-HW. Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
PRT-HC3-C08Q08,"Port Module, GigaVUE-HC3, 8x100G QSFP28 cages and 8x40G QSFP+ cages",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
PRT-HC3-C08Q08-HW,"Port Module, GigaVUE-HC3, 8x100G QSFP28 cages and 8x40G QSFP+ cages.  Hardware only.  Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
PRT-HC3-C08Q08-SW-TM,Monthly GigaVUE-OS term license for PRT-HC3-C08Q08-HW. Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC3,United States,,,,TRUE
PRT-HC3-C16,"Port Module, GigaVUE-HC3, 16x100G QSFP28 cages. Requires Control Card Version 2.",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
PRT-HC3-C16-HW,"Port Module, GigaVUE-HC3, 16x100G QSFP28 cages.  Requires Control Card Version 2.  Hardware only.  Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
PRT-HC3-C16-SW-TM,Monthly GigaVUE-OS term license for PRT-HC3-C16-HW. Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC3,United States,,,,TRUE
